id,rolling_speed,elevation_speed,elevation_jerk,elevation,roll,elevation_acceleration,controller_input
1,0.0058,-2.7,0.0,0,0.014,0.0,-10.0
2,-0.0067,0.1,0.0,10,0.005,0.1,-10.0
3,0.001,-3.9,-0.02,-10,0.019,0.0,-20.0
4,0.0065,3.9,0.0,0,0.017,0.0,20.0
5,0.0021,-2.1,0.0,-40,0.006,-0.1,-20.0
6,-0.0117,-1.6,0.0,20,0.012,-0.2,-10.0
7,-0.008,-2.0,0.01,-30,0.046,-0.1,-10.0
8,0.0002,4.9,0.0,0,-0.005,0.2,30.0
9,0.0015,1.1,0.0,-90,0.033,0.4,10.0
10,0.0007,6.2,0.0,-30,0.001,0.1,10.0
11,-0.0078,5.8,0.0,-40,-0.003,0.0,10.0
12,-0.0079,-5.6,0.0,20,0.003,-0.1,-10.0
13,-0.0009,-6.9,0.0,-70,0.04,0.1,-10.0
14,-0.0124,-6.0,0.0,-50,0.006999999999999999,0.4,20.0
15,0.0039,-0.9,-0.01,-20,-0.001,-0.2,-30.0
16,-0.0014,-6.4,0.0,0,0.002,-0.2,-60.0
17,-0.0012,-8.0,0.0,0,0.01,-0.2,-60.0
18,-0.0004,-7.2,0.0,10,0.004,-0.1,-20.0
19,0.0019,8.9,0.01,20,0.016,-0.2,10.0
20,0.0063,4.5,0.0,-40,-0.008,0.3,20.0
21,-0.0006,7.4,0.0,-20,0.011,0.3,10.0
22,0.003,-3.2,0.0,-20,0.014,0.0,10.0
23,-0.001,-2.0,0.0,20,0.019,-0.3,-40.0
24,-0.0059,0.4,0.0,20,0.005,-0.2,10.0
25,-0.0047,-0.4,0.0,-20,-0.004,-0.1,-10.0
26,0.0076,-1.1,-0.01,-20,0.022,-0.2,10.0
27,0.0062,0.2,0.0,10,-0.012,-0.2,-30.0
28,0.0009,8.2,0.0,-30,0.005,0.2,10.0
29,0.0136,-1.2,-0.02,-30,0.028,0.0,10.0
30,-0.0025,7.1,0.0,-10,-0.028,0.2,10.0
31,-0.0048,5.0,0.0,-20,-0.011,0.4,40.0
32,0.0026,-3.7,0.0,0,0.011,-0.1,-20.0
33,0.0027,2.2,0.0,-10,0.012,0.2,20.0
34,-0.0012,-3.5,0.0,-10,-0.023,-0.4,-10.0
35,0.0012,0.0,0.0,-70,-0.039,-0.1,-50.0
36,0.0028,-6.6,0.01,40,-0.016,-0.6,-60.0
37,-0.0049,-8.1,0.0,-10,0.005,0.0,-10.0
38,-0.0013,-4.5,0.0,10,0.005,-0.2,-30.0
39,0.0064,-3.2,0.0,0,0.025,-0.2,-10.0
40,-0.0055,-6.8,0.02,-30,-0.004,-0.3,-30.0
41,0.0088,-7.7,-0.01,-20,0.004,0.0,-30.0
42,0.0087,-4.9,0.0,-10,0.001,0.1,10.0
43,0.0041,11.6,0.0,-10,0.016,0.3,30.0
44,0.0055,0.0,0.0,-20,-0.042,0.0,20.0
45,-0.0005,9.8,0.0,0,-0.002,0.0,20.0
46,-0.0001,5.5,0.0,-10,0.002,0.1,10.0
47,-0.0036,-3.5,0.0,-10,0.006999999999999999,-0.1,10.0
48,-0.0045,-6.4,0.0,10,-0.011,0.1,-10.0
49,0.0054,-1.3,0.0,-10,0.025,-0.1,-30.0
50,-0.0027,-2.7,0.0,10,0.023,-0.2,-30.0
51,0.0053,-0.8,0.0,20,0.013,0.0,20.0
52,0.0054,5.4,0.0,-10,0.014,0.2,30.0
53,-0.0003,-5.0,-0.01,-10,-0.004,0.1,10.0
54,-0.0073,-1.8,0.0,50,0.006,-0.3,-10.0
55,0.0055,-5.3,-0.01,-30,0.013,0.1,-20.0
56,0.0061,4.1,0.0,0,-0.022,-0.1,10.0
57,-0.0079,-2.5,0.0,30,-0.018000000000000002,-0.2,-50.0
58,-0.002,-5.3,0.0,-10,-0.006,-0.1,-20.0
59,-0.0043,-7.1,0.0,20,0.004,-0.2,-10.0
60,0.0033,2.8,0.0,-10,0.012,0.2,30.0
61,-0.0032,3.1,0.0,-20,-0.006,0.1,10.0
62,0.0022,4.8,0.01,-10,-0.024,0.0,20.0
63,0.0074,9.0,0.01,20,0.006999999999999999,-0.1,10.0
64,-0.0023,-7.5,0.0,-10,-0.004,-0.1,-30.0
65,0.0005,-5.7,0.0,-50,0.017,0.0,-20.0
66,-0.0057,5.7,0.01,-20,0.015,-0.1,10.0
67,0.0016,-2.2,0.0,-10,-0.002,-0.4,-40.0
68,-0.0044,-6.6,0.01,-30,0.006,-0.1,-10.0
69,-0.0024,-3.2,0.0,10,-0.014,-0.1,-10.0
70,0.0002,-7.5,-0.02,-50,0.001,0.1,10.0
71,-0.0082,-1.7,0.0,-60,0.02,0.2,-10.0
72,0.001,8.4,0.0,-40,0.004,0.2,20.0
73,-0.0072,-3.1,0.0,-20,-0.031,0.0,-20.0
74,0.0031,8.2,0.0,-10,0.023,0.2,50.0
75,0.0011,-2.3,0.0,-20,0.005,-0.2,-10.0
76,0.0001,3.3,0.0,10,-0.008,0.1,10.0
77,0.0063,-2.7,0.01,-30,0.003,-0.2,-20.0
78,0.0008,-2.3,0.0,-40,0.009000000000000001,0.0,20.0
79,-0.0018,7.2,0.0,10,0.023,-0.1,30.0
80,0.0036,-4.8,-0.02,-30,0.045,0.0,-10.0
81,-0.0032,-7.2,0.0,-70,-0.006,0.1,-10.0
82,-0.0062,0.8,0.0,-40,0.003,0.1,-10.0
83,0.0048,6.5,0.0,0,0.003,0.1,10.0
84,0.0056,-2.1,0.0,-30,0.038,-0.1,-69.99999999999999
85,-0.0121,-2.1,0.0,20,0.015,0.0,-10.0
86,-0.0099,-6.7,0.0,20,-0.021,0.0,-10.0
87,-0.0129,-1.3,0.0,-30,0.003,0.2,-10.0
88,-0.008,0.7,0.0,-20,0.023,0.0,30.0
89,-0.0053,-10.7,0.0,-20,-0.012,-0.1,-10.0
90,-0.0081,-2.6,0.0,-10,0.022,0.0,-20.0
91,-0.0018,6.6,0.0,-30,0.003,0.2,40.0
92,-0.0002,7.7,0.0,-20,0.011,0.3,30.0
93,-0.0015,-6.1,0.0,-20,0.025,0.0,-10.0
94,0.0028,-1.9,-0.01,-20,-0.018000000000000002,0.1,-10.0
95,0.0012,-3.5,0.0,0,0.021,-0.3,-40.0
96,0.0042,1.9,0.0,-20,-0.01,0.0,20.0
97,0.0,8.2,0.0,0,-0.009000000000000001,0.1,30.0
98,-0.0022,-6.1,0.0,50,0.002,-0.2,-10.0
99,-0.0041,-9.6,0.01,-30,-0.035,0.1,-10.0
100,-0.0029,-3.0,0.0,-10,-0.002,-0.1,-20.0
